,mean_mean_rssi,mean_distance
0,-94.0,478.6666666666667
1,-93.0,464.5
2,-92.0,436.5
3,-91.0,439.4347826086956
4,-90.0,414.75
5,-89.0,379.0983606557377
6,-88.0,342.75555555555553
7,-87.0,303.42857142857144
8,-86.0,281.8333333333333
9,-85.0,257.1875
10,-84.0,221.23809523809524
11,-83.0,207.2
12,-82.0,188.11764705882354
13,-81.0,174.86666666666667
14,-80.0,145.23809523809524
15,-79.0,141.44444444444446
16,-78.0,121.75
17,-77.0,124.88888888888889
18,-76.0,104.23076923076923
19,-75.0,104.0
20,-74.0,83.33333333333333
21,-73.0,74.0
22,-72.0,66.66666666666667
23,-71.0,66.25
24,-70.0,62.0
25,-69.0,58.0
26,-68.0,54.0
27,-67.0,51.2
28,-66.0,42.5
29,-65.0,43.0
30,-64.0,45.2
31,-63.0,41.6
32,-62.0,34.333333333333336
33,-61.0,29.8
34,-60.0,29.0
35,-59.0,22.75
36,-58.0,24.0
37,-57.0,16.0
38,-56.0,23.0
39,-55.0,15.75
40,-54.0,13.0
41,-53.0,11.333333333333334
42,-52.0,10.666666666666666
43,-51.0,2.3333333333333335
44,-50.0,6.0
45,-48.0,3.0
46,-46.0,2.0
